total_lines,num_functions,num_classes,num_imports,avg_func_length,max_func_length,avg_complexity,max_complexity,high_complexity_fns,maintainability,lines_per_function,num_nodes,num_edges,avg_degree,max_degree,graph_density,avg_shortest_path,clustering_coeff,deep_nesting_count,is_buggy,source,path
133,3,1,7,4.666666666666667,7,1.5,2,0,60.81,44.333333333333336,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
95,1,0,11,9.0,9,4.0,4,0,82.24,95.0,2,0,0.0,0,0.0,0.0,0.0,0,1,requests,src/requests/compat.py
1097,43,0,22,20.511627906976745,66,4.57,17,4,25.01,25.511627906976745,44,19,0.864,8,0.01,2.091,0.046,0,1,requests,src/requests/utils.py
2977,271,17,29,7.955719557195572,42,2.85,8,0,0.0,10.985239852398523,268,301,2.246,182,0.0042,2.814,0.021,0,1,requests,tests/test_requests.py
134,3,1,7,4.666666666666667,7,1.5,2,0,60.77,44.666666666666664,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
181,2,0,16,19.5,28,6.5,10,0,71.29,90.5,3,0,0.0,0,0.0,0.0,0.0,0,1,requests,src/requests/__init__.py
15,0,0,0,0.0,0,0.0,0,0,100.0,15.0,1,0,0.0,0,0.0,0.0,0.0,0,1,requests,src/requests/__version__.py
538,17,2,14,23.470588235294116,104,3.63,19,2,51.8,31.647058823529413,17,28,3.294,14,0.1029,1.919,0.49,0,1,requests,src/requests/adapters.py
80,0,0,12,0.0,0,0.0,0,0,86.54,80.0,1,0,0.0,0,0.0,0.0,0.0,0,1,requests,src/requests/compat.py
142,2,25,2,7.5,8,1.3,5,0,78.64,71.0,27,27,2.0,25,0.0385,1.989,0.0,0,1,requests,src/requests/exceptions.py
1033,44,5,17,18.181818181818183,76,4.44,21,5,21.89,23.477272727272727,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,src/requests/models.py
29,0,0,4,0.0,0,0.0,0,0,87.25,29.0,1,0,0.0,0,0.0,0.0,0.0,0,1,requests,src/requests/packages.py
129,2,0,1,9.0,16,6.0,6,0,84.22,64.5,3,1,0.667,1,0.1667,1.0,0.0,0,1,requests,src/requests/status_codes.py
1092,43,0,22,20.3953488372093,63,4.55,17,4,25.2,25.3953488372093,44,19,0.864,8,0.01,2.091,0.046,0,1,requests,src/requests/utils.py
2798,259,17,27,7.6061776061776065,42,2.83,8,0,0.0,10.803088803088803,259,289,2.232,180,0.0043,2.774,0.022,0,1,requests,tests/test_requests.py
927,71,16,16,3.7746478873239435,34,2.34,6,0,20.81,13.056338028169014,76,64,1.684,15,0.0112,3.165,0.0,0,1,requests,tests/test_utils.py
135,12,1,3,8.666666666666666,19,2.25,4,0,54.74,11.25,14,20,2.857,12,0.1099,2.11,0.448,0,1,requests,tests/testserver/server.py
1092,43,0,22,20.3953488372093,63,4.55,17,4,25.2,25.3953488372093,44,19,0.864,8,0.01,2.091,0.046,0,1,requests,src/requests/utils.py
957,44,5,18,17.15909090909091,84,4.56,24,5,21.31,21.75,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,requests/models.py
140,2,0,15,15.5,22,6.0,9,0,72.83,70.0,3,0,0.0,0,0.0,0.0,0.0,0,1,requests,requests/__init__.py
113,3,1,8,4.333333333333333,6,1.5,2,0,67.85,37.666666666666664,5,4,1.6,4,0.2,1.6,0.0,0,1,requests,setup.py
121,2,0,1,8.0,14,6.0,6,0,84.2,60.5,3,1,0.667,1,0.1667,1.0,0.0,0,1,requests,requests/status_codes.py
975,44,5,18,17.818181818181817,84,4.6,24,5,20.81,22.15909090909091,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,requests/models.py
771,28,2,15,22.714285714285715,111,4.2,16,1,36.62,27.535714285714285,31,58,3.742,21,0.0624,2.335,0.533,0,1,requests,requests/sessions.py
771,28,2,15,22.714285714285715,111,4.2,16,1,36.45,27.535714285714285,31,58,3.742,21,0.0624,2.335,0.533,0,1,requests,requests/sessions.py
159,8,0,1,15.125,44,1.0,1,0,100.0,19.875,9,7,1.556,7,0.0972,1.75,0.0,0,1,requests,requests/api.py
306,19,4,11,12.894736842105264,100,2.95,19,1,46.51,16.105263157894736,18,22,2.444,9,0.0719,1.956,0.158,0,1,requests,requests/auth.py
954,44,5,18,17.15909090909091,84,4.56,24,5,21.27,21.681818181818183,45,71,3.156,23,0.0359,2.853,0.307,0,1,requests,requests/models.py
